id,year,state_name,state_code,district_name,district_code,season,crop_code,crop_name,crop_type,area,area_unit,production,production_unit,yield,yield_unit
4712, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,1004,Rapeseed &Mustard,Oilseeds,51,Hectare,7,Tonnes,0.14,Tonnes/Hectare
4728, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,101,Rice,Cereals,197,Hectare,316,Tonnes,1.6,Tonnes/Hectare
4793, 1998-99,Karnataka,29,Bagalkote,524,Rabi       ,1008,Safflower,Oilseeds,4590,Hectare,3570,Tonnes,0.78,Tonnes/Hectare
4807, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,1003,Sesamum,Oilseeds,2395,Hectare,937,Tonnes,0.39,Tonnes/Hectare
4833, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,1009,Soyabean,Oilseeds,5221,Hectare,3854,Tonnes,0.74,Tonnes/Hectare
4850, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,1007,Sunflower,Oilseeds,36785,Hectare,13374,Tonnes,0.36,Tonnes/Hectare
4851, 1998-99,Karnataka,29,Bagalkote,524,Rabi       ,1007,Sunflower,Oilseeds,41359,Hectare,16619,Tonnes,0.4,Tonnes/Hectare
4852, 1998-99,Karnataka,29,Bagalkote,524,Summer     ,1007,Sunflower,Oilseeds,2262,Hectare,1195,Tonnes,0.53,Tonnes/Hectare
4920, 1998-99,Karnataka,29,Bagalkote,524,Whole Year ,504,Turmeric,Spices,305,Hectare,1872,Tonnes,6.14,Tonnes/Hectare
4941, 1998-99,Karnataka,29,Bagalkote,524,Rabi       ,106,Wheat,Cereals,22207,Hectare,28030,Tonnes,1.26,Tonnes/Hectare
17410, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,202,Arhar/Tur,Pulses,4294,Hectare,3402,Tonnes,0.79,Tonnes/Hectare
17436, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,103,Bajra,Cereals,51037,Hectare,58785,Tonnes,1.15,Tonnes/Hectare
17457, 2007-08,Karnataka,29,Bagalkote,524,Whole Year ,606,Banana,Fruits,862,Hectare,13986,Tonnes,16.23,Tonnes/Hectare
17530, 2007-08,Karnataka,29,Bagalkote,524,Whole Year ,1006,Coconut,Oilseeds,264,Hectare,1344000,Tonnes,5090.91,Tonnes/Hectare
17559, 2007-08,Karnataka,29,Bagalkote,524,Whole Year ,509,Coriander,Spices,40,Hectare,14,Tonnes,0.35,Tonnes/Hectare
17581, 2007-08,Karnataka,29,Bagalkote,524,Whole Year ,1101,Cotton(Lint),Fiber Crops,2660,Hectare,3791,Tonnes,1.43,Tonnes/Hectare
17601, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,502,Dry Chillies,Spices,699,Hectare,630,Tonnes,0.9,Tonnes/Hectare
17602, 2007-08,Karnataka,29,Bagalkote,524,Rabi       ,502,Dry Chillies,Spices,221,Hectare,386,Tonnes,1.75,Tonnes/Hectare
17603, 2007-08,Karnataka,29,Bagalkote,524,Summer     ,502,Dry Chillies,Spices,109,Hectare,369,Tonnes,3.39,Tonnes/Hectare
17680, 2007-08,Karnataka,29,Bagalkote,524,Whole Year ,508,Garlic,Spices,23,Hectare,64,Tonnes,2.78,Tonnes/Hectare
17713, 2007-08,Karnataka,29,Bagalkote,524,Rabi       ,201,Gram,Pulses,49313,Hectare,34287,Tonnes,0.7,Tonnes/Hectare
17737, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,1001,Groundnut,Oilseeds,5007,Hectare,3866,Tonnes,0.77,Tonnes/Hectare
17738, 2007-08,Karnataka,29,Bagalkote,524,Rabi       ,1001,Groundnut,Oilseeds,17294,Hectare,14425,Tonnes,0.83,Tonnes/Hectare
17792, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,206,Horse-Gram,Pulses,1829,Hectare,1390,Tonnes,0.76,Tonnes/Hectare
17793, 2007-08,Karnataka,29,Bagalkote,524,Rabi       ,206,Horse-Gram,Pulses,2113,Hectare,1218,Tonnes,0.58,Tonnes/Hectare
17847, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,102,Jowar,Cereals,9537,Hectare,15692,Tonnes,1.65,Tonnes/Hectare
17848, 2007-08,Karnataka,29,Bagalkote,524,Rabi       ,102,Jowar,Cereals,123497,Hectare,178029,Tonnes,1.44,Tonnes/Hectare
17900, 2007-08,Karnataka,29,Bagalkote,524,Rabi       ,1005,Linseed,Oilseeds,3690,Hectare,1844,Tonnes,0.5,Tonnes/Hectare
17913, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,104,Maize,Cereals,49303,Hectare,194845,Tonnes,3.95,Tonnes/Hectare
17914, 2007-08,Karnataka,29,Bagalkote,524,Rabi       ,104,Maize,Cereals,16147,Hectare,67418,Tonnes,4.18,Tonnes/Hectare
17915, 2007-08,Karnataka,29,Bagalkote,524,Summer     ,104,Maize,Cereals,1735,Hectare,7618,Tonnes,4.39,Tonnes/Hectare
17993, 2007-08,Karnataka,29,Bagalkote,524,Whole Year ,1103,Mesta,Fiber Crops,9,Hectare,17,Tonnes,1.89,Tonnes/Hectare
17998, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,204,Moong(Green Gram),Pulses,47730,Hectare,9431,Tonnes,0.2,Tonnes/Hectare
18036, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,1010,Niger Seed,Oilseeds,201,Hectare,76,Tonnes,0.38,Tonnes/Hectare
18060, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,708,Onion,Vegetable,12075,Hectare,81411,Tonnes,6.74,Tonnes/Hectare
18061, 2007-08,Karnataka,29,Bagalkote,524,Rabi       ,708,Onion,Vegetable,971,Hectare,10215,Tonnes,10.52,Tonnes/Hectare
18062, 2007-08,Karnataka,29,Bagalkote,524,Summer     ,708,Onion,Vegetable,605,Hectare,6030,Tonnes,9.97,Tonnes/Hectare
18127, 2007-08,Karnataka,29,Bagalkote,524,Rabi       ,288,Other  Rabi Pulses,Pulses,1026,Hectare,272,Tonnes,0.27,Tonnes/Hectare
18155, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,288,Other Kharif Pulses,Pulses,1484,Hectare,728,Tonnes,0.49,Tonnes/Hectare
18264, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,1004,Rapeseed &Mustard,Oilseeds,42,Hectare,15,Tonnes,0.36,Tonnes/Hectare
18280, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,101,Rice,Cereals,68,Hectare,206,Tonnes,3.03,Tonnes/Hectare
18350, 2007-08,Karnataka,29,Bagalkote,524,Rabi       ,1008,Safflower,Oilseeds,3098,Hectare,2688,Tonnes,0.87,Tonnes/Hectare
18367, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,1003,Sesamum,Oilseeds,1343,Hectare,702,Tonnes,0.52,Tonnes/Hectare
18394, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,108,Small Millets,Cereals,69,Hectare,23,Tonnes,0.33,Tonnes/Hectare
18415, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,1009,Soyabean,Oilseeds,2575,Hectare,3474,Tonnes,1.35,Tonnes/Hectare
18427, 2007-08,Karnataka,29,Bagalkote,524,Whole Year ,401,Sugarcane,Sugar,57399,Hectare,5071202,Tonnes,88.35,Tonnes/Hectare
18453, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,1007,Sunflower,Oilseeds,22559,Hectare,13004,Tonnes,0.58,Tonnes/Hectare
18454, 2007-08,Karnataka,29,Bagalkote,524,Rabi       ,1007,Sunflower,Oilseeds,61111,Hectare,35479,Tonnes,0.58,Tonnes/Hectare
18455, 2007-08,Karnataka,29,Bagalkote,524,Summer     ,1007,Sunflower,Oilseeds,5060,Hectare,7302,Tonnes,1.44,Tonnes/Hectare
18522, 2007-08,Karnataka,29,Bagalkote,524,Whole Year ,703,Sweet Potato,Vegetable,28,Hectare,89,Tonnes,3.18,Tonnes/Hectare
18560, 2007-08,Karnataka,29,Bagalkote,524,Whole Year ,504,Turmeric,Spices,1203,Hectare,15696,Tonnes,13.05,Tonnes/Hectare
18578, 2007-08,Karnataka,29,Bagalkote,524,Kharif     ,203,Urad,Pulses,40,Hectare,14,Tonnes,0.35,Tonnes/Hectare
18614, 2007-08,Karnataka,29,Bagalkote,524,Rabi       ,106,Wheat,Cereals,23208,Hectare,38300,Tonnes,1.65,Tonnes/Hectare
32247, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,202,Arhar/Tur,Pulses,1056,Hectare,288,Tonnes,0.27,Tonnes/Hectare
32273, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,103,Bajra,Cereals,22009,Hectare,24287,Tonnes,1.1,Tonnes/Hectare
32293, 2008-09,Karnataka,29,Bagalkote,524,Whole Year ,606,Banana,Fruits,1424,Hectare,32850,Tonnes,23.07,Tonnes/Hectare
32345, 2008-09,Karnataka,29,Bagalkote,524,Whole Year ,619,Cashewnut,Fruits,1,Hectare,0.61,Tonnes,0.61,Tonnes/Hectare
32390, 2008-09,Karnataka,29,Bagalkote,524,Whole Year ,1006,Coconut,Oilseeds,410,Hectare,2809000,Tonnes,6851.22,Tonnes/Hectare
32419, 2008-09,Karnataka,29,Bagalkote,524,Whole Year ,509,Coriander,Spices,83,Hectare,45,Tonnes,0.54,Tonnes/Hectare
32441, 2008-09,Karnataka,29,Bagalkote,524,Whole Year ,1101,Cotton(Lint),Fiber Crops,2466,Hectare,5901,Tonnes,2.39,Tonnes/Hectare
32461, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,502,Dry Chillies,Spices,764,Hectare,709,Tonnes,0.93,Tonnes/Hectare
32462, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,502,Dry Chillies,Spices,435,Hectare,737,Tonnes,1.69,Tonnes/Hectare
32463, 2008-09,Karnataka,29,Bagalkote,524,Summer     ,502,Dry Chillies,Spices,119,Hectare,390,Tonnes,3.28,Tonnes/Hectare
32542, 2008-09,Karnataka,29,Bagalkote,524,Whole Year ,508,Garlic,Spices,30,Hectare,61,Tonnes,2.03,Tonnes/Hectare
32575, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,201,Gram,Pulses,60586,Hectare,25597,Tonnes,0.42,Tonnes/Hectare
32598, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,1001,Groundnut,Oilseeds,2182,Hectare,1366,Tonnes,0.63,Tonnes/Hectare
32599, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,1001,Groundnut,Oilseeds,16605,Hectare,16611,Tonnes,1,Tonnes/Hectare
32653, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,206,Horse-Gram,Pulses,411,Hectare,186,Tonnes,0.45,Tonnes/Hectare
32654, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,206,Horse-Gram,Pulses,2989,Hectare,1698,Tonnes,0.57,Tonnes/Hectare
32706, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,102,Jowar,Cereals,5239,Hectare,9125,Tonnes,1.74,Tonnes/Hectare
32707, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,102,Jowar,Cereals,134783,Hectare,162768,Tonnes,1.21,Tonnes/Hectare
32758, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,1005,Linseed,Oilseeds,2920,Hectare,1168,Tonnes,0.4,Tonnes/Hectare
32771, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,104,Maize,Cereals,44405,Hectare,160977,Tonnes,3.63,Tonnes/Hectare
32772, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,104,Maize,Cereals,20427,Hectare,73062,Tonnes,3.58,Tonnes/Hectare
32773, 2008-09,Karnataka,29,Bagalkote,524,Summer     ,104,Maize,Cereals,2834,Hectare,9192,Tonnes,3.24,Tonnes/Hectare
32852, 2008-09,Karnataka,29,Bagalkote,524,Whole Year ,1103,Mesta,Fiber Crops,3,Hectare,6,Tonnes,2,Tonnes/Hectare
32857, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,204,Moong(Green Gram),Pulses,19906,Hectare,321,Tonnes,0.02,Tonnes/Hectare
32894, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,1010,Niger Seed,Oilseeds,101,Hectare,35,Tonnes,0.35,Tonnes/Hectare
32919, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,708,Onion,Vegetable,6945,Hectare,54530,Tonnes,7.85,Tonnes/Hectare
32920, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,708,Onion,Vegetable,2526,Hectare,22773,Tonnes,9.02,Tonnes/Hectare
32921, 2008-09,Karnataka,29,Bagalkote,524,Summer     ,708,Onion,Vegetable,651,Hectare,4053,Tonnes,6.23,Tonnes/Hectare
32987, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,288,Other  Rabi Pulses,Pulses,1471,Hectare,411,Tonnes,0.28,Tonnes/Hectare
33015, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,288,Other Kharif Pulses,Pulses,182,Hectare,158,Tonnes,0.87,Tonnes/Hectare
33128, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,1004,Rapeseed &Mustard,Oilseeds,1,Hectare,3,Tonnes,0,Tonnes/Hectare
33144, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,101,Rice,Cereals,87,Hectare,266.13,Tonnes,3.06,Tonnes/Hectare
33211, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,1008,Safflower,Oilseeds,3580,Hectare,2258,Tonnes,0.63,Tonnes/Hectare
33228, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,1003,Sesamum,Oilseeds,1419,Hectare,280,Tonnes,0.2,Tonnes/Hectare
33255, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,1009,Soyabean,Oilseeds,2281,Hectare,2314,Tonnes,1.01,Tonnes/Hectare
33266, 2008-09,Karnataka,29,Bagalkote,524,Whole Year ,401,Sugarcane,Sugar,56598,Hectare,5860723,Tonnes,103.55,Tonnes/Hectare
33289, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,1007,Sunflower,Oilseeds,21841,Hectare,11046,Tonnes,0.51,Tonnes/Hectare
33290, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,1007,Sunflower,Oilseeds,61318,Hectare,30374,Tonnes,0.5,Tonnes/Hectare
33291, 2008-09,Karnataka,29,Bagalkote,524,Summer     ,1007,Sunflower,Oilseeds,5274,Hectare,4890,Tonnes,0.93,Tonnes/Hectare
33357, 2008-09,Karnataka,29,Bagalkote,524,Whole Year ,703,Sweet Potato,Vegetable,20,Hectare,202,Tonnes,10.1,Tonnes/Hectare
33396, 2008-09,Karnataka,29,Bagalkote,524,Whole Year ,504,Turmeric,Spices,1994,Hectare,13402,Tonnes,6.72,Tonnes/Hectare
33415, 2008-09,Karnataka,29,Bagalkote,524,Kharif     ,203,Urad,Pulses,34,Hectare,9,Tonnes,0.26,Tonnes/Hectare
33450, 2008-09,Karnataka,29,Bagalkote,524,Rabi       ,106,Wheat,Cereals,25668,Hectare,37486,Tonnes,1.46,Tonnes/Hectare
47273, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,202,Arhar/Tur,Pulses,4811,Hectare,2610,Tonnes,0.54,Tonnes/Hectare
47299, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,103,Bajra,Cereals,43613,Hectare,17323,Tonnes,0.4,Tonnes/Hectare
47318, 2009-10,Karnataka,29,Bagalkote,524,Whole Year ,606,Banana,Fruits,1575,Hectare,17048,Tonnes,10.82,Tonnes/Hectare
47366, 2009-10,Karnataka,29,Bagalkote,524,Whole Year ,619,Cashewnut,Fruits,1,Hectare,1,Tonnes,1,Tonnes/Hectare
47410, 2009-10,Karnataka,29,Bagalkote,524,Whole Year ,1006,Coconut,Oilseeds,614,Hectare,4366000,Tonnes,7110.75,Tonnes/Hectare
47439, 2009-10,Karnataka,29,Bagalkote,524,Whole Year ,509,Coriander,Spices,240,Hectare,118,Tonnes,0.49,Tonnes/Hectare
47460, 2009-10,Karnataka,29,Bagalkote,524,Whole Year ,1101,Cotton(Lint),Fiber Crops,2824,Hectare,4402,Tonnes,1.56,Tonnes/Hectare
47480, 2009-10,Karnataka,29,Bagalkote,524,Rabi       ,502,Dry Chillies,Spices,613,Hectare,669,Tonnes,1.09,Tonnes/Hectare
47481, 2009-10,Karnataka,29,Bagalkote,524,Summer     ,502,Dry Chillies,Spices,125,Hectare,576,Tonnes,4.61,Tonnes/Hectare
47532, 2009-10,Karnataka,29,Bagalkote,524,Whole Year ,508,Garlic,Spices,25,Hectare,32,Tonnes,1.28,Tonnes/Hectare
47563, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,201,Gram,Pulses,810,Hectare,228,Tonnes,0.28,Tonnes/Hectare
47564, 2009-10,Karnataka,29,Bagalkote,524,Rabi       ,201,Gram,Pulses,1244,Hectare,474,Tonnes,0.38,Tonnes/Hectare
47616, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,1001,Groundnut,Oilseeds,6090,Hectare,1789,Tonnes,0.29,Tonnes/Hectare
47617, 2009-10,Karnataka,29,Bagalkote,524,Rabi       ,1001,Groundnut,Oilseeds,17718,Hectare,20266,Tonnes,1.14,Tonnes/Hectare
47670, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,206,Horse-Gram,Pulses,810,Hectare,228,Tonnes,0.28,Tonnes/Hectare
47671, 2009-10,Karnataka,29,Bagalkote,524,Rabi       ,206,Horse-Gram,Pulses,1244,Hectare,474,Tonnes,0.38,Tonnes/Hectare
47723, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,102,Jowar,Cereals,5189,Hectare,3769,Tonnes,0.73,Tonnes/Hectare
47724, 2009-10,Karnataka,29,Bagalkote,524,Rabi       ,102,Jowar,Cereals,110368,Hectare,117488,Tonnes,1.06,Tonnes/Hectare
47776, 2009-10,Karnataka,29,Bagalkote,524,Rabi       ,1005,Linseed,Oilseeds,2354,Hectare,635,Tonnes,0.27,Tonnes/Hectare
47788, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,104,Maize,Cereals,59425,Hectare,124102,Tonnes,2.09,Tonnes/Hectare
47789, 2009-10,Karnataka,29,Bagalkote,524,Rabi       ,104,Maize,Cereals,20192,Hectare,63865,Tonnes,3.16,Tonnes/Hectare
47790, 2009-10,Karnataka,29,Bagalkote,524,Summer     ,104,Maize,Cereals,2413,Hectare,9552,Tonnes,3.96,Tonnes/Hectare
47870, 2009-10,Karnataka,29,Bagalkote,524,Whole Year ,1103,Mesta,Fiber Crops,4,Hectare,6,Tonnes,1.5,Tonnes/Hectare
47875, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,204,Moong(Green Gram),Pulses,36714,Hectare,4883,Tonnes,0.13,Tonnes/Hectare
47912, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,1010,Niger Seed,Oilseeds,166,Hectare,58,Tonnes,0.35,Tonnes/Hectare
47936, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,708,Onion,Vegetable,17697,Hectare,49445,Tonnes,2.79,Tonnes/Hectare
47937, 2009-10,Karnataka,29,Bagalkote,524,Rabi       ,708,Onion,Vegetable,2083,Hectare,14319,Tonnes,6.87,Tonnes/Hectare
47938, 2009-10,Karnataka,29,Bagalkote,524,Summer     ,708,Onion,Vegetable,540,Hectare,4485,Tonnes,8.31,Tonnes/Hectare
48001, 2009-10,Karnataka,29,Bagalkote,524,Rabi       ,288,Other  Rabi Pulses,Pulses,952,Hectare,255,Tonnes,0.27,Tonnes/Hectare
48030, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,288,Other Kharif Pulses,Pulses,715,Hectare,256,Tonnes,0.36,Tonnes/Hectare
48155, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,101,Rice,Cereals,133,Hectare,381.58,Tonnes,2.87,Tonnes/Hectare
48222, 2009-10,Karnataka,29,Bagalkote,524,Rabi       ,1008,Safflower,Oilseeds,2570,Hectare,1734,Tonnes,0.67,Tonnes/Hectare
48240, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,1003,Sesamum,Oilseeds,2350,Hectare,801,Tonnes,0.34,Tonnes/Hectare
48266, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,108,Small Millets,Cereals,54,Hectare,15,Tonnes,0.28,Tonnes/Hectare
48286, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,1009,Soyabean,Oilseeds,3524,Hectare,2035,Tonnes,0.58,Tonnes/Hectare
48296, 2009-10,Karnataka,29,Bagalkote,524,Whole Year ,401,Sugarcane,Sugar,63833,Hectare,6549266,Tonnes,102.6,Tonnes/Hectare
48320, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,1007,Sunflower,Oilseeds,26140,Hectare,5156,Tonnes,0.2,Tonnes/Hectare
48321, 2009-10,Karnataka,29,Bagalkote,524,Rabi       ,1007,Sunflower,Oilseeds,32103,Hectare,17100,Tonnes,0.53,Tonnes/Hectare
48322, 2009-10,Karnataka,29,Bagalkote,524,Summer     ,1007,Sunflower,Oilseeds,2341,Hectare,2295,Tonnes,0.98,Tonnes/Hectare
48388, 2009-10,Karnataka,29,Bagalkote,524,Whole Year ,703,Sweet Potato,Vegetable,15,Hectare,99,Tonnes,6.6,Tonnes/Hectare
48412, 2009-10,Karnataka,29,Bagalkote,524,Whole Year ,1302,Tobacco,Drugs And Narcotics,1,Hectare,1,Tonnes,1,Tonnes/Hectare
48429, 2009-10,Karnataka,29,Bagalkote,524,Whole Year ,504,Turmeric,Spices,3231,Hectare,24717,Tonnes,7.65,Tonnes/Hectare
48446, 2009-10,Karnataka,29,Bagalkote,524,Kharif     ,203,Urad,Pulses,118,Hectare,10,Tonnes,0.08,Tonnes/Hectare
48481, 2009-10,Karnataka,29,Bagalkote,524,Rabi       ,106,Wheat,Cereals,26356,Hectare,36213,Tonnes,1.37,Tonnes/Hectare
62670, 2010-11,Karnataka,29,Bagalkote,524,Kharif     ,202,Arhar/Tur,Pulses,11231,Hectare,5708,Tonnes,0.51,Tonnes/Hectare
62697, 2010-11,Karnataka,29,Bagalkote,524,Kharif     ,103,Bajra,Cereals,34045,Hectare,49726,Tonnes,1.46,Tonnes/Hectare
62718, 2010-11,Karnataka,29,Bagalkote,524,Whole Year ,606,Banana,Fruits,1518,Hectare,16956,Tonnes,11.17,Tonnes/Hectare
62769, 2010-11,Karnataka,29,Bagalkote,524,Whole Year ,619,Cashewnut,Fruits,1,Hectare,1,Tonnes,1,Tonnes/Hectare
62814, 2010-11,Karnataka,29,Bagalkote,524,Whole Year ,1006,Coconut,Oilseeds,664,Hectare,6347000,Tonnes,9558.73,Tonnes/Hectare
62844, 2010-11,Karnataka,29,Bagalkote,524,Whole Year ,509,Coriander,Spices,229,Hectare,85,Tonnes,0.37,Tonnes/Hectare
62864, 2010-11,Karnataka,29,Bagalkote,524,Kharif     ,1101,Cotton(Lint),Fiber Crops,1034,Hectare,2338,Tonnes,2.26,Tonnes/Hectare
62865, 2010-11,Karnataka,29,Bagalkote,524,Rabi       ,1101,Cotton(Lint),Fiber Crops,1357,Hectare,1938,Tonnes,1.43,Tonnes/Hectare
62901, 2010-11,Karnataka,29,Bagalkote,524,Kharif     ,207,Cowpea(Lobia),Pulses,225,Hectare,116,Tonnes,0.52,Tonnes/Hectare
62902, 2010-11,Karnataka,29,Bagalkote,524,Rabi       ,207,Cowpea(Lobia),Pulses,931,Hectare,246,Tonnes,0.26,Tonnes/Hectare
62955, 2010-11,Karnataka,29,Bagalkote,524,Kharif     ,502,Dry Chillies,Spices,1492,Hectare,634,Tonnes,0.42,Tonnes/Hectare
