crop,N,P,K,ph,rainfall,temperature,humidity
Arhar/Tur,27.78,51.98,29.45,6.05,776.25,25.41,58.52
Arhar/Tur,26.86,54.56,23.09,6.93,727.37,30.25,51.82
Arhar/Tur,23.75,50.96,25.71,6.26,661.25,31.64,59.71
Arhar/Tur,24.72,58.33,29.31,6.92,605.57,31.84,59.32
Arhar/Tur,29.66,58.15,20.58,7.07,607.52,26.25,51.56
Arhar/Tur,21.75,52.19,22.83,6.79,915.97,29.18,59.77
Arhar/Tur,20.47,51.38,28.58,6.09,666.29,27.13,50.03
Arhar/Tur,29.25,58.92,29.01,6.21,913.16,27.8,50.01
Arhar/Tur,26.72,50.09,24.26,7.01,664.79,31.84,52.5
Arhar/Tur,21.83,53.96,29.37,7.13,922.93,31.3,51.76
Arhar/Tur,25.37,55.7,21.66,6.09,724.31,30.57,56.93
Arhar/Tur,22.75,52.94,23.54,6.74,743.99,25.71,59.98
Arhar/Tur,29.92,57.28,26.1,6.61,803.78,25.62,54.53
Arhar/Tur,24.3,50.22,27.99,7.01,944.24,33.9,58.39
Arhar/Tur,24.94,54.91,24.45,7.16,900.11,32.73,55.43
Arhar/Tur,22.65,56.16,24.88,6.98,800.81,30.07,58.71
Arhar/Tur,20.12,53.23,21.08,6.34,655.07,25.8,56.62
Arhar/Tur,25.14,55.09,22.32,6.32,822.06,31.17,50.27
Arhar/Tur,21.24,52.7,25.81,6.62,902.08,31.3,51.4
Arhar/Tur,20.39,55.61,25.29,6.61,950.77,26.39,50.4
Arhar/Tur,27.93,56.98,26.51,7.34,969.43,33.03,53.77
Arhar/Tur,20.72,57.43,20.88,6.68,898.39,30.55,56.83
Arhar/Tur,26.59,56.47,25.07,7.29,976.06,29.93,50.77
Arhar/Tur,25.0,50.9,25.12,7.44,655.31,31.89,55.41
Arhar/Tur,21.83,58.29,29.95,7.12,921.08,32.7,58.21
Arhar/Tur,29.75,58.38,20.26,6.34,888.12,30.35,59.14
Arhar/Tur,20.71,56.76,23.29,6.54,818.52,25.31,52.41
Arhar/Tur,22.05,55.64,28.71,6.62,863.28,33.0,51.07
Arhar/Tur,22.69,51.97,28.41,7.14,986.1,30.81,59.78
Arhar/Tur,21.46,55.34,23.1,6.83,711.48,29.04,54.5
Arhar/Tur,27.85,52.57,25.01,6.85,756.32,28.52,51.02
Arhar/Tur,27.91,59.67,25.31,6.92,836.42,30.42,50.18
Arhar/Tur,25.87,58.72,25.66,7.11,930.67,27.79,50.4
Arhar/Tur,25.95,52.18,22.8,7.11,868.92,30.94,59.52
Arhar/Tur,25.51,55.78,20.98,7.32,991.08,28.63,59.83
Arhar/Tur,22.94,50.03,23.28,6.68,696.03,25.68,55.43
Arhar/Tur,27.2,51.27,21.69,6.48,623.24,32.73,53.04
Arhar/Tur,20.88,52.66,20.7,7.41,803.4,25.02,52.78
Arhar/Tur,25.09,57.69,24.27,6.95,996.98,26.58,50.44
Arhar/Tur,29.62,51.46,22.7,6.31,896.98,27.01,54.68
Arhar/Tur,23.26,53.98,25.84,7.05,686.27,25.26,52.44
Arhar/Tur,23.67,54.9,21.94,7.28,897.22,29.64,58.96
Arhar/Tur,28.99,58.97,21.72,6.82,982.66,29.11,56.8
Arhar/Tur,20.05,54.13,28.37,6.39,836.15,31.63,54.96
Arhar/Tur,22.66,50.15,29.89,6.38,822.66,30.41,55.59
Arhar/Tur,29.5,50.79,22.27,6.18,715.79,27.04,50.39
Arhar/Tur,28.51,55.73,25.77,6.92,639.75,25.61,59.2
Arhar/Tur,28.63,59.69,20.99,6.4,725.57,30.87,59.46
Arhar/Tur,22.41,56.75,20.33,6.4,789.34,31.44,50.74
Arhar/Tur,26.23,58.81,22.04,6.05,739.32,30.04,56.56
Arhar/Tur,22.41,57.52,29.64,6.04,650.27,30.87,56.24
Arhar/Tur,28.62,57.86,27.65,7.11,979.69,33.49,51.27
Arhar/Tur,23.89,50.14,27.78,7.05,868.58,32.35,53.56
Arhar/Tur,20.75,56.3,22.39,6.21,790.93,28.76,56.99
Arhar/Tur,27.74,55.12,24.34,6.07,894.42,30.36,53.8
Arhar/Tur,23.54,57.15,29.98,6.47,931.76,29.25,51.74
Arhar/Tur,23.1,53.8,29.69,6.17,719.12,26.24,50.47
Arhar/Tur,23.68,51.71,25.61,6.74,849.13,31.3,57.81
Arhar/Tur,29.46,58.17,27.82,6.94,843.9,28.24,57.25
Arhar/Tur,27.22,56.8,28.84,7.01,935.35,30.73,59.11
Arhar/Tur,24.08,55.79,24.85,6.61,890.21,30.29,53.86
Arhar/Tur,24.46,53.85,27.21,6.76,830.19,30.18,57.8
Arhar/Tur,20.27,55.67,22.88,6.67,924.88,28.57,51.49
Arhar/Tur,20.7,58.11,23.13,7.29,844.03,29.71,58.19
Arhar/Tur,29.46,53.13,23.25,6.45,839.1,31.84,58.15
Arhar/Tur,26.91,51.71,25.33,7.12,917.95,29.37,54.54
Arhar/Tur,28.57,54.54,28.38,6.19,800.08,26.22,56.38
Arhar/Tur,20.54,50.73,28.28,6.33,864.37,33.26,52.47
Arhar/Tur,26.84,59.53,27.15,7.34,808.06,25.79,56.07
Arhar/Tur,20.99,59.32,25.89,6.92,648.77,28.84,54.66
Arhar/Tur,25.41,57.56,21.37,6.86,700.25,27.3,58.32
Arhar/Tur,21.87,55.4,23.71,6.84,916.04,27.76,56.55
Arhar/Tur,25.65,56.12,20.46,6.45,962.8,26.14,59.52
Bajra,61.06,34.6,30.55,7.27,423.81,31.26,53.04
Bajra,71.46,35.27,39.24,7.23,464.6,32.57,46.58
Bajra,77.19,32.73,39.78,7.11,664.75,33.33,54.62
Bajra,75.85,30.83,37.98,6.97,415.87,25.68,45.01
Bajra,79.34,36.58,32.08,7.29,475.7,29.01,58.58
Bajra,60.06,30.82,30.45,6.23,638.05,27.01,47.82
Bajra,61.21,36.58,32.89,6.01,503.27,30.34,58.46
Bajra,69.2,32.25,35.04,6.46,501.37,28.55,40.03
Bajra,61.38,32.61,36.19,6.99,522.25,29.68,48.52
Bajra,66.14,37.23,31.6,7.21,538.93,31.99,48.35
Bajra,75.57,32.4,33.14,6.2,503.59,34.16,40.03
Bajra,74.78,36.26,32.41,7.05,632.42,28.3,52.1
Bajra,77.0,37.47,33.73,6.84,613.95,29.76,57.9
Bajra,71.27,39.96,30.03,6.45,681.15,28.52,51.35
Bajra,79.99,32.69,39.22,6.15,592.12,28.86,59.96
Bajra,70.48,30.68,35.72,6.8,598.64,27.67,44.56
Bajra,69.83,32.54,32.99,6.09,684.44,34.93,43.11
Bajra,64.22,36.15,38.74,7.23,704.9,30.78,50.1
Bajra,68.78,39.85,34.46,6.66,509.01,27.84,43.14
Bajra,68.51,30.8,30.02,7.04,740.33,34.91,41.72
Bajra,63.56,33.33,38.65,6.28,489.11,26.37,57.99
Bajra,62.14,39.41,39.73,7.47,683.78,33.25,46.98
Bajra,66.53,33.37,35.17,6.26,649.44,29.16,42.76
Bajra,70.76,32.15,38.47,7.48,744.96,25.13,53.01
Bajra,78.62,36.97,33.65,6.38,446.4,31.04,56.97
Bajra,64.85,37.27,39.58,7.01,441.47,29.84,47.13
Bajra,65.47,34.66,32.76,6.05,605.81,30.83,54.13
Bajra,73.76,35.37,31.75,6.97,404.47,31.95,57.71
Bajra,77.23,38.4,36.91,6.5,545.86,25.1,42.26
Bajra,67.11,38.37,37.15,6.83,407.27,26.87,51.08
Bajra,77.0,36.74,35.15,6.43,690.45,33.17,43.08
Bajra,68.87,39.46,35.64,7.1,522.95,27.03,46.57
Bajra,61.36,30.73,31.82,6.88,527.32,26.31,43.38
Bajra,69.18,35.27,39.43,7.5,665.81,28.62,56.74
Bajra,66.64,34.58,38.15,7.11,729.44,31.52,50.62
Bajra,79.77,39.98,37.79,6.21,554.82,30.68,47.98
Bajra,64.0,39.07,35.47,6.43,430.18,31.6,40.4
Bajra,66.67,31.26,36.13,7.25,544.0,31.58,44.75
Bajra,70.65,38.92,33.35,7.48,491.47,28.72,56.44
Bajra,66.65,37.3,38.43,7.22,731.28,32.49,56.02
Bajra,62.62,31.31,38.97,6.42,467.77,32.62,45.72
Bajra,71.08,38.99,36.41,7.34,525.0,25.66,51.12
Bajra,78.29,34.65,33.23,6.18,612.25,27.9,43.72
Bajra,71.02,39.35,39.12,6.32,405.77,25.61,47.78
Bajra,75.92,30.23,39.83,6.26,580.16,33.24,47.94
Bajra,67.88,37.84,39.88,6.33,739.4,34.55,58.65
Bajra,69.08,35.52,38.2,6.29,581.48,26.9,58.77
Bajra,75.26,32.02,38.11,6.16,587.5,34.51,59.86
Bajra,71.45,37.69,35.35,6.16,539.58,27.62,55.38
Bajra,60.08,30.43,39.42,7.35,499.78,31.69,52.2
Bajra,65.19,31.23,30.11,6.83,531.99,26.81,43.06
Bajra,63.71,37.71,35.96,6.18,707.96,32.09,42.07
Bajra,72.52,32.47,34.37,6.44,450.04,34.11,43.34
Bajra,78.31,32.27,33.49,6.4,575.31,30.85,41.64
Bajra,62.84,37.37,31.43,7.09,571.08,26.9,56.74
Bajra,61.06,37.04,37.98,6.69,458.32,29.68,41.5
Bajra,69.26,30.78,34.41,6.52,723.7,32.11,53.88
Bajra,77.23,37.57,37.26,6.46,716.56,28.8,40.31
Bajra,71.12,39.36,32.48,6.92,734.34,32.18,48.0
Bajra,61.24,39.29,34.05,7.21,620.41,25.36,49.13
Bajra,69.95,39.51,33.22,7.44,681.83,32.84,45.32
Bajra,64.54,35.76,30.77,7.24,513.74,26.08,41.81
Bajra,74.85,30.02,30.79,7.42,571.19,28.11,41.24
Bajra,77.71,36.23,37.3,6.16,430.89,26.34,54.24
Bajra,70.59,38.32,30.7,6.56,563.21,34.87,46.03
Bajra,68.12,34.19,34.92,7.31,465.98,25.07,43.12
Bajra,75.93,34.84,39.62,7.24,431.02,34.44,59.87
Bajra,63.53,38.69,30.82,6.34,672.61,32.91,53.82
Bajra,79.06,38.84,34.06,7.46,430.58,31.11,45.31
Bajra,74.8,38.9,35.47,6.71,482.3,25.13,42.36
Bajra,67.71,34.44,32.87,6.96,737.02,34.22,50.46
Bajra,60.27,38.78,33.31,6.56,513.92,27.99,40.36
Bajra,78.74,37.19,37.25,6.37,477.26,28.45,50.16
Bajra,62.0,37.04,33.12,6.26,613.06,34.08,57.01
Bajra,61.62,39.73,36.6,7.31,515.88,31.16,57.76
Bajra,71.09,39.06,38.36,6.02,720.71,34.57,43.05
Bajra,72.56,32.62,37.85,6.61,497.15,26.29,46.03
Bajra,61.11,34.74,37.61,7.42,678.87,33.98,56.15
Bajra,64.25,31.01,36.63,6.94,600.45,31.72,42.92
Bajra,69.14,35.11,36.19,7.13,401.7,27.27,41.39
Bajra,79.94,33.02,36.43,6.0,424.1,26.37,43.97
Bajra,73.55,37.21,30.24,6.82,738.62,25.03,58.6
Bajra,75.25,33.27,34.18,6.25,661.21,28.32,40.79
Bajra,66.51,37.0,35.15,6.71,698.31,26.93,59.44
Bajra,78.52,32.66,39.77,6.89,524.25,33.65,56.26
Bajra,64.12,33.3,34.31,6.97,681.14,25.61,44.42
Bajra,63.68,30.41,37.06,6.45,606.49,34.54,57.9
Bajra,70.51,39.32,32.65,7.04,618.09,34.67,51.3
Bajra,79.97,30.36,39.91,6.38,462.48,27.86,45.35
Bajra,70.35,31.1,35.17,6.93,449.9,30.11,42.11
Bajra,63.75,34.48,30.42,7.04,529.03,29.28,55.24
Bajra,72.7,34.47,36.7,6.04,659.97,27.52,55.04
Bajra,64.62,37.48,37.88,6.54,487.59,26.77,58.04
Bajra,70.2,36.14,37.25,6.88,475.09,30.39,42.64
Bajra,74.83,34.28,34.21,6.01,410.13,27.89,51.55
Bajra,67.3,35.29,39.26,6.74,701.62,28.19,45.8
Bajra,69.16,38.33,33.98,6.72,576.8,30.74,58.66
Bajra,73.8,36.99,30.75,6.45,561.64,27.3,46.23
Bajra,73.22,37.41,33.19,6.31,536.75,28.53,47.45
Bajra,78.86,36.71,38.46,7.31,494.33,30.48,56.53
Bajra,63.47,35.55,36.05,6.73,411.63,27.97,48.25
Bajra,71.26,34.52,36.72,7.23,486.0,33.08,56.84
Bajra,65.19,38.5,38.61,7.26,622.56,25.07,56.67
Bajra,79.02,33.32,38.64,6.69,594.84,25.58,48.54
Bajra,75.14,35.33,36.43,6.81,526.59,29.74,41.35
Bajra,61.02,39.92,30.52,6.45,592.36,32.64,49.21
Bajra,70.74,38.12,34.34,6.36,582.19,30.1,54.68
Bajra,78.64,36.72,38.72,6.81,673.18,30.13,56.25
Bajra,68.42,35.32,37.68,7.18,697.67,34.13,43.34
Bajra,60.78,37.65,39.6,7.18,550.16,31.29,53.09
Bajra,72.42,37.83,39.16,6.45,522.99,31.28,58.05
Bajra,75.45,33.0,33.76,7.32,746.88,29.97,43.79
Bajra,65.29,32.61,37.89,6.25,480.88,34.84,44.81
Bajra,78.96,32.45,36.54,7.21,732.71,33.75,47.73
Bajra,79.01,38.78,33.67,7.37,681.21,30.11,58.1
Bajra,79.13,38.92,39.18,6.23,600.5,34.13,53.85
Bajra,70.86,33.82,31.66,6.05,656.33,29.43,54.57
Bajra,78.66,36.09,33.03,6.16,577.74,33.98,40.92
Bajra,63.67,34.53,36.97,6.26,475.37,29.33,44.9
Bajra,77.67,32.84,38.2,7.09,673.21,28.37,48.86
Bajra,60.98,34.56,35.04,6.59,679.67,26.24,46.39
Bajra,74.68,35.96,39.26,7.33,489.3,31.33,41.9
Bajra,61.9,35.11,38.24,7.11,666.63,27.74,55.3
Bajra,69.28,38.08,37.97,6.04,731.81,34.92,53.06
Bajra,79.24,35.82,33.47,6.61,425.08,32.73,41.22
Bajra,70.33,35.28,37.46,6.57,507.24,27.84,58.05
Bajra,68.44,34.05,32.29,6.01,509.73,32.11,57.6
Bajra,66.35,33.89,32.84,6.43,533.91,27.15,51.74
Bajra,76.75,37.16,30.84,6.88,464.47,29.99,47.98
Bajra,79.76,39.23,36.29,7.18,658.72,30.48,42.64
Bajra,75.62,39.45,31.55,6.22,649.31,31.15,54.18
Bajra,64.29,39.77,37.75,6.88,690.69,28.96,46.66
Bajra,68.7,37.0,36.38,7.47,652.76,29.42,47.39
Bajra,61.18,34.76,35.08,6.9,666.66,31.71,57.82
Bajra,64.79,35.98,37.04,7.1,695.91,34.93,47.07
Bajra,77.47,35.56,30.26,6.46,614.49,33.48,55.45
Bajra,68.12,31.17,32.5,6.24,641.93,29.29,45.39
Bajra,65.45,34.85,33.21,6.59,411.88,30.17,40.45
Bajra,68.01,33.83,37.99,6.26,636.41,26.72,47.9
Bajra,64.13,35.95,33.53,6.99,741.74,29.79,57.63
Bajra,62.97,39.42,34.62,6.91,449.12,29.61,40.1
Bajra,68.39,39.57,38.87,6.98,449.87,30.82,44.45
Bajra,62.73,32.25,30.58,6.59,612.78,28.53,40.54
Bajra,63.17,33.04,31.4,6.17,436.22,29.98,53.2
Bajra,77.06,38.25,33.49,6.89,444.15,27.23,42.27
Bajra,63.34,39.87,36.35,6.31,743.77,32.63,58.02
Bajra,67.53,38.53,31.52,7.44,431.01,29.5,54.06
Bajra,66.03,32.18,38.0,7.26,560.9,27.21,57.01
Bajra,76.2,32.85,38.69,6.03,444.12,28.27,40.43
Bajra,66.2,36.34,39.14,6.84,595.32,29.47,41.77
Banana,247.61,59.06,237.77,6.72,1581.41,27.31,76.93
Banana,207.89,53.2,283.6,6.0,1074.04,28.19,85.76
Banana,216.19,55.62,293.4,6.63,1421.13,25.57,84.07
Banana,205.28,50.36,265.8,6.91,1170.05,25.15,87.45
Banana,206.38,54.81,218.98,6.32,1311.91,22.87,73.47
Banana,208.64,54.39,216.05,6.45,2266.1,21.61,71.98
Banana,207.77,54.67,202.37,6.21,1973.96,25.71,75.53
Banana,207.08,55.89,212.37,7.22,2491.95,23.98,86.05
Banana,238.45,58.41,254.03,7.47,1168.52,29.85,71.43
Banana,211.21,55.68,205.39,6.07,2110.8,32.29,88.71
Banana,203.63,57.89,277.14,6.42,2165.69,34.41,83.92
Banana,220.5,56.41,273.2,6.12,1288.65,23.74,75.35
Banana,237.44,52.31,269.44,6.11,1784.88,28.45,87.75
Banana,203.87,51.74,254.23,6.72,1694.12,32.61,87.06
Banana,221.15,57.62,264.92,6.47,1246.97,28.68,75.38
Banana,240.61,59.37,253.22,7.4,1779.71,25.05,75.01
Banana,246.75,52.12,252.66,7.18,2082.31,29.76,72.04
Banana,232.23,58.97,208.21,6.61,2365.46,21.05,78.66
Banana,240.59,54.72,271.47,6.01,2026.48,24.89,71.37
Banana,227.19,53.41,264.61,7.04,2051.45,33.67,77.08
Banana,201.22,53.98,224.52,6.76,2429.82,21.0,77.96
Banana,225.29,58.62,258.58,6.03,1057.62,20.88,79.11
Banana,233.51,55.37,260.51,6.08,2414.94,34.89,84.62
Banana,232.92,51.33,202.05,7.42,2250.83,21.26,76.2
Banana,219.56,53.45,266.83,7.38,1737.09,25.39,86.77
Banana,249.72,58.38,247.29,6.94,2124.95,27.45,79.43
Banana,210.75,57.33,241.92,7.24,1088.16,21.08,88.32
Banana,233.28,55.98,217.95,6.81,2122.59,33.04,80.07
Banana,228.54,53.88,296.66,6.04,1494.93,26.86,78.72
Banana,202.09,55.35,278.13,6.67,1873.01,26.32,74.38
Banana,242.64,59.43,237.44,7.36,2265.34,24.31,73.9
Banana,224.89,59.1,215.84,7.1,2365.0,21.95,76.82
Banana,240.52,52.75,275.56,7.22,1469.1,25.56,85.11
Banana,210.3,58.31,239.96,7.49,2251.11,25.46,74.87
Banana,247.19,58.54,296.89,7.15,1306.68,23.44,88.5
Banana,239.62,55.72,250.21,6.19,1092.29,23.96,88.87
Banana,242.82,57.32,244.08,7.48,1730.71,25.21,85.22
Banana,210.38,59.26,273.57,6.52,1682.51,32.3,81.2
Banana,248.45,58.61,279.44,6.61,1007.03,29.61,73.59
Banana,212.8,55.51,220.3,6.9,1170.58,20.94,88.81
Banana,209.7,58.76,218.18,7.23,1909.52,20.92,70.15
Banana,241.08,55.59,217.63,6.2,1760.0,25.99,78.53
Banana,213.55,57.51,264.73,7.13,1123.59,27.28,70.62
Banana,233.73,51.42,227.72,7.11,1575.57,34.9,75.2
Banana,221.82,54.67,249.6,6.79,1317.19,23.04,75.94
Banana,238.05,50.97,247.85,7.25,1234.88,28.66,78.81
Banana,218.73,58.91,272.09,6.43,1914.87,27.27,78.59
Banana,246.06,50.01,226.25,6.88,1695.12,21.49,73.02
Banana,200.96,50.46,261.1,7.48,1539.85,25.2,82.02
Banana,222.88,57.27,202.59,6.85,1770.53,28.61,70.5
Banana,238.86,54.38,250.06,6.91,1989.71,21.86,86.83
Banana,236.33,50.06,275.81,6.86,1047.07,26.26,84.46
Banana,237.46,58.44,262.61,6.22,2384.28,22.15,75.01
Banana,211.7,58.99,253.44,6.78,2100.75,22.76,83.1
Banana,224.1,58.84,222.69,6.61,2328.83,23.25,77.28
Banana,236.77,59.92,279.03,6.74,2395.02,30.38,76.35
Banana,210.82,51.56,204.66,6.02,2458.09,30.85,81.8
Banana,202.07,56.22,242.13,7.05,2343.91,32.63,80.25
Banana,244.67,56.51,214.94,6.25,1194.97,31.66,78.42
Banana,222.04,58.47,284.3,7.16,2246.24,31.82,81.01
Banana,219.82,50.35,290.67,6.63,1368.05,34.78,87.61
Banana,244.87,58.7,284.97,6.24,1264.93,31.82,83.67
Banana,209.89,52.97,205.48,6.12,1810.5,26.18,70.6
Banana,232.28,56.24,296.71,6.59,1280.2,27.5,76.72
Banana,213.41,58.13,271.21,6.46,2211.93,26.9,71.27
Banana,216.3,59.0,245.75,6.7,2395.74,25.42,70.01
Banana,232.72,51.93,247.86,6.76,1888.35,21.45,76.42
Banana,225.65,55.75,232.69,6.24,2057.69,31.37,80.89
Banana,224.63,56.61,204.57,7.05,2427.63,31.9,70.15
Banana,225.15,59.48,286.83,7.2,1563.02,32.16,72.51
Banana,202.31,54.65,287.47,6.28,1732.3,34.02,87.82
Banana,227.24,57.23,294.02,6.54,1352.18,21.02,76.46
Banana,239.89,59.77,255.1,6.4,1158.1,23.86,80.47
Banana,244.86,53.14,233.75,7.07,1927.7,24.0,78.44
Banana,202.18,56.42,210.22,6.73,2019.74,21.85,71.91
Banana,202.8,53.0,214.55,6.19,2000.57,33.86,75.63
Banana,242.66,51.55,288.07,7.35,1754.65,22.88,81.91
Banana,245.61,58.13,264.82,6.9,2372.51,21.09,88.4
Banana,231.39,57.84,244.15,7.1,2055.33,22.03,70.73
Banana,218.52,52.68,220.87,6.14,1626.6,29.34,89.39
Banana,225.85,53.77,292.37,6.53,1472.63,23.72,76.43
Banana,237.85,54.14,232.04,6.96,1652.84,30.71,75.6
Banana,216.52,51.62,213.36,7.05,1942.99,27.04,70.93
Banana,201.14,50.24,258.74,6.39,1352.11,32.95,70.93
Banana,200.15,52.17,247.31,7.32,2020.68,26.18,82.16
Banana,239.94,55.1,236.37,6.63,2391.4,29.25,73.5
Banana,237.23,56.0,269.7,6.67,2347.01,23.48,75.25
Banana,240.26,57.14,226.64,7.46,1460.32,26.17,74.0
Banana,224.01,51.35,289.58,7.01,1536.48,31.76,86.65
Banana,245.26,51.79,258.98,6.63,1100.38,20.33,76.12
Banana,205.37,52.13,262.67,6.11,1035.36,28.7,85.43
Banana,223.96,57.14,277.82,6.4,1758.2,28.78,72.7
Banana,230.6,52.57,280.15,7.23,1442.29,31.04,82.51
Banana,202.64,56.84,294.55,6.88,1609.57,28.99,75.85
Banana,219.08,55.48,266.61,6.52,1204.98,29.43,79.15
Banana,224.72,56.31,218.41,6.59,1975.12,23.75,87.25
Banana,224.44,59.06,205.68,7.17,1507.9,23.38,85.01
Banana,247.98,51.72,212.61,6.93,1379.83,34.0,75.3
Banana,218.19,55.24,211.12,6.87,1802.63,32.58,82.0
Banana,236.73,56.75,220.3,6.81,1355.55,24.04,75.36
Banana,237.95,51.07,270.09,6.14,1488.71,20.35,73.64
Banana,222.23,55.78,243.25,6.23,1516.69,33.85,76.6
Banana,207.18,56.23,252.41,6.19,2445.93,27.26,81.08
Banana,241.45,56.79,206.72,7.35,1101.68,31.13,79.71
